arquivo,real,previsto,prob_amora,acertou
amora/amora_0001.jpg,amora,amora,1.0,True
amora/amora_0002.jpg,amora,amora,0.999,True
amora/amora_0003.jpg,amora,amora,0.948,True
amora/amora_0004.jpg,amora,amora,0.793,True
amora/amora_0005.jpg,amora,amora,0.959,True
amora/amora_0006.jpg,amora,amora,0.968,True
amora/amora_0007.jpg,amora,not_amora,0.458,False
amora/amora_0008.jpg,amora,amora,0.72,True
amora/amora_0009.jpg,amora,amora,1.0,True
amora/amora_0010.jpg,amora,amora,0.892,True
amora/amora_0011.jpg,amora,amora,0.613,True
amora/amora_0012.jpg,amora,amora,0.872,True
amora/amora_0013.jpg,amora,amora,0.998,True
amora/amora_0014.jpg,amora,amora,0.953,True
amora/amora_0015.jpg,amora,amora,0.999,True
amora/amora_0016.jpg,amora,amora,0.999,True
amora/amora_0017.jpg,amora,amora,1.0,True
amora/amora_0018.jpg,amora,amora,0.993,True
amora/amora_0019.jpg,amora,amora,0.802,True
amora/amora_0020.jpg,amora,amora,0.985,True
amora/amora_0021.jpg,amora,amora,0.983,True
amora/amora_0022.jpg,amora,amora,0.963,True
amora/amora_0023.jpg,amora,amora,0.955,True
amora/amora_0024.jpg,amora,amora,0.89,True
amora/amora_0025.jpg,amora,not_amora,0.036,False
amora/amora_0026.jpg,amora,amora,0.826,True
amora/amora_0027.jpg,amora,amora,0.932,True
amora/amora_0028.jpg,amora,amora,0.995,True
amora/amora_0029.jpg,amora,amora,0.996,True
amora/amora_0030.jpg,amora,amora,0.995,True
amora/amora_0031.jpg,amora,amora,0.998,True
amora/amora_0032.jpg,amora,amora,0.996,True
amora/amora_0033.jpg,amora,amora,1.0,True
amora/amora_0034.jpg,amora,not_amora,0.012,False
amora/amora_0035.jpg,amora,amora,0.996,True
amora/amora_0036.jpg,amora,amora,0.693,True
amora/amora_0037.jpg,amora,amora,0.901,True
amora/amora_0038.jpg,amora,amora,0.568,True
amora/amora_0039.jpg,amora,amora,1.0,True
amora/amora_0040.jpg,amora,amora,0.989,True
amora/amora_0041.jpg,amora,amora,1.0,True
amora/amora_0042.jpg,amora,amora,0.976,True
amora/amora_0043.jpg,amora,amora,0.995,True
amora/amora_0044.jpg,amora,amora,0.979,True
amora/amora_0045.jpg,amora,amora,0.951,True
amora/amora_0046.jpg,amora,amora,0.988,True
amora/amora_0047.jpg,amora,amora,0.969,True
amora/amora_0048.jpg,amora,amora,0.999,True
amora/amora_0049.jpg,amora,amora,0.999,True
amora/amora_0050.jpg,amora,amora,0.968,True
amora/amora_0051.jpg,amora,amora,0.718,True
amora/amora_0052.jpg,amora,amora,0.874,True
amora/amora_0053.jpg,amora,amora,0.966,True
amora/amora_0054.jpg,amora,amora,0.886,True
amora/amora_0055.jpg,amora,amora,1.0,True
amora/amora_0056.jpg,amora,amora,0.992,True
amora/amora_0057.jpg,amora,amora,1.0,True
amora/amora_0058.jpg,amora,amora,1.0,True
amora/amora_0059.jpg,amora,amora,1.0,True
amora/amora_0060.jpg,amora,amora,0.999,True
amora/amora_0061.jpg,amora,amora,0.999,True
amora/amora_0062.jpg,amora,amora,1.0,True
amora/amora_0063.jpg,amora,not_amora,0.423,False
amora/amora_0064.jpg,amora,amora,0.967,True
amora/amora_0065.jpg,amora,amora,1.0,True
amora/amora_0066.jpg,amora,amora,0.694,True
not_amora/not_amora_0001.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0002.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0003.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0004.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0005.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0006.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0007.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0008.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0009.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0010.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0011.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0012.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0013.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0014.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0015.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0016.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0017.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0018.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0019.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0020.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0021.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0022.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0023.jpg,not_amora,not_amora,0.026,True
not_amora/not_amora_0024.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0025.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0026.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0027.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0028.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0029.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0030.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0031.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0032.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0033.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0034.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0035.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0036.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0037.jpg,not_amora,not_amora,0.017,True
not_amora/not_amora_0038.jpg,not_amora,not_amora,0.001,True
not_amora/not_amora_0039.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0040.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0041.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0042.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0043.jpg,not_amora,not_amora,0.0,True
not_amora/not_amora_0044.jpg,not_amora,not_amora,0.01,True
