file,actual,predicted,prob_amora,correct
amora/amora_1.jpg,amora,amora,0.999,True
amora/amora_10.jpg,amora,amora,0.921,True
amora/amora_100.jpg,amora,amora,0.982,True
amora/amora_101.jpg,amora,amora,0.955,True
amora/amora_102.jpg,amora,amora,0.988,True
amora/amora_103.jpg,amora,amora,1.0,True
amora/amora_104.jpg,amora,amora,0.996,True
amora/amora_105.jpg,amora,amora,0.998,True
amora/amora_106.jpg,amora,amora,0.949,True
amora/amora_107.jpg,amora,amora,0.833,True
amora/amora_108.jpg,amora,amora,0.997,True
amora/amora_109.jpg,amora,amora,0.985,True
amora/amora_11.jpg,amora,amora,0.998,True
amora/amora_110.jpg,amora,amora,0.994,True
amora/amora_111.jpg,amora,amora,0.984,True
amora/amora_112.jpg,amora,amora,0.997,True
amora/amora_113.jpg,amora,amora,1.0,True
amora/amora_114.jpg,amora,amora,1.0,True
amora/amora_115.jpg,amora,amora,0.958,True
amora/amora_116.jpg,amora,amora,0.935,True
amora/amora_117.jpg,amora,amora,0.928,True
amora/amora_118.jpg,amora,amora,0.887,True
amora/amora_119.jpg,amora,amora,0.971,True
amora/amora_12.jpg,amora,amora,0.983,True
amora/amora_120.jpg,amora,amora,0.988,True
amora/amora_121.jpg,amora,amora,1.0,True
amora/amora_122.jpg,amora,amora,0.992,True
amora/amora_123.jpg,amora,amora,0.999,True
amora/amora_124.jpg,amora,amora,0.999,True
amora/amora_125.jpg,amora,amora,1.0,True
amora/amora_126.jpg,amora,amora,0.998,True
amora/amora_127.jpg,amora,amora,1.0,True
amora/amora_128.jpg,amora,amora,0.989,True
amora/amora_129.jpg,amora,amora,0.999,True
amora/amora_13.jpg,amora,amora,0.999,True
amora/amora_130.jpg,amora,amora,1.0,True
amora/amora_131.jpg,amora,amora,1.0,True
amora/amora_132.jpg,amora,not_amora,0.36,False
amora/amora_133.jpg,amora,amora,0.992,True
amora/amora_134.jpg,amora,amora,0.998,True
amora/amora_135.jpg,amora,amora,1.0,True
amora/amora_136.jpg,amora,amora,0.75,True
amora/amora_137.jpg,amora,amora,0.918,True
amora/amora_138.jpg,amora,amora,0.997,True
amora/amora_139.jpg,amora,amora,0.999,True
amora/amora_14.jpg,amora,amora,0.924,True
amora/amora_140.jpg,amora,amora,0.999,True
amora/amora_141.jpg,amora,amora,0.96,True
amora/amora_142.jpg,amora,amora,0.914,True
amora/amora_143.jpg,amora,amora,0.925,True
amora/amora_144.jpg,amora,amora,0.993,True
amora/amora_145.jpg,amora,amora,0.97,True
amora/amora_146.jpg,amora,amora,0.942,True
amora/amora_147.jpg,amora,amora,0.985,True
amora/amora_148.jpg,amora,amora,1.0,True
amora/amora_149.jpg,amora,amora,1.0,True
amora/amora_15.jpg,amora,amora,0.989,True
amora/amora_150.jpg,amora,amora,0.989,True
amora/amora_151.jpg,amora,amora,0.989,True
amora/amora_152.jpg,amora,amora,0.995,True
amora/amora_153.jpg,amora,amora,0.963,True
amora/amora_154.jpg,amora,amora,0.839,True
amora/amora_155.jpg,amora,amora,0.748,True
amora/amora_156.jpg,amora,amora,0.993,True
amora/amora_157.jpg,amora,amora,0.999,True
amora/amora_158.jpg,amora,amora,0.999,True
not_amora/not_amora_1.jpg,not_amora,not_amora,0.016,True
not_amora/not_amora_10.jpg,not_amora,not_amora,0.0,True
